,company_id,day,employee_headcount
0,1.0,2011-01-23,4620.0
1,2.0,2011-01-23,2206.0
2,3.0,2011-01-23,1531.0
3,4.0,2011-01-23,1153.0
4,5.0,2011-01-23,983.0
5,6.0,2011-01-23,712.0
6,7.0,2011-01-23,692.0
7,8.0,2011-01-23,579.0
8,9.0,2011-01-23,529.0
9,10.0,2011-01-23,479.0
10,11.0,2011-01-23,12.0
11,12.0,2011-01-23,12.0
12,1.0,2011-01-24,4620.0
13,2.0,2011-01-24,2206.0
14,3.0,2011-01-24,1531.0
15,4.0,2011-01-24,1153.0
16,5.0,2011-01-24,983.0
17,6.0,2011-01-24,712.0
18,7.0,2011-01-24,692.0
19,8.0,2011-01-24,579.0
20,9.0,2011-01-24,529.0
21,10.0,2011-01-24,479.0
22,11.0,2011-01-24,12.0
23,12.0,2011-01-24,12.0
24,1.0,2011-01-25,4620.0
25,2.0,2011-01-25,2206.0
26,3.0,2011-01-25,1531.0
27,4.0,2011-01-25,1153.0
28,5.0,2011-01-25,983.0
29,6.0,2011-01-25,712.0
30,7.0,2011-01-25,692.0
31,8.0,2011-01-25,579.0
32,9.0,2011-01-25,529.0
33,10.0,2011-01-25,479.0
34,11.0,2011-01-25,12.0
35,12.0,2011-01-25,12.0
36,1.0,2011-01-26,4620.0
37,2.0,2011-01-26,2206.0
38,3.0,2011-01-26,1531.0
39,4.0,2011-01-26,1153.0
40,5.0,2011-01-26,983.0
41,6.0,2011-01-26,712.0
42,7.0,2011-01-26,692.0
43,8.0,2011-01-26,579.0
44,9.0,2011-01-26,529.0
45,10.0,2011-01-26,479.0
46,11.0,2011-01-26,12.0
47,12.0,2011-01-26,12.0
48,1.0,2011-01-27,4620.0
49,2.0,2011-01-27,2206.0
50,3.0,2011-01-27,1531.0
51,4.0,2011-01-27,1153.0
52,5.0,2011-01-27,983.0
53,6.0,2011-01-27,712.0
54,7.0,2011-01-27,692.0
55,8.0,2011-01-27,579.0
56,9.0,2011-01-27,529.0
57,10.0,2011-01-27,479.0
58,11.0,2011-01-27,12.0
59,12.0,2011-01-27,12.0
60,1.0,2011-01-28,4620.0
61,2.0,2011-01-28,2206.0
62,3.0,2011-01-28,1531.0
63,4.0,2011-01-28,1153.0
64,5.0,2011-01-28,983.0
65,6.0,2011-01-28,712.0
66,7.0,2011-01-28,692.0
67,8.0,2011-01-28,579.0
68,9.0,2011-01-28,529.0
69,10.0,2011-01-28,479.0
70,11.0,2011-01-28,12.0
71,12.0,2011-01-28,12.0
72,1.0,2011-01-29,4620.0
73,2.0,2011-01-29,2206.0
74,3.0,2011-01-29,1531.0
75,4.0,2011-01-29,1153.0
76,5.0,2011-01-29,983.0
77,6.0,2011-01-29,712.0
78,7.0,2011-01-29,692.0
79,8.0,2011-01-29,579.0
80,9.0,2011-01-29,529.0
81,10.0,2011-01-29,479.0
82,11.0,2011-01-29,12.0
83,12.0,2011-01-29,12.0
84,1.0,2011-01-30,4620.0
85,2.0,2011-01-30,2206.0
86,3.0,2011-01-30,1531.0
87,4.0,2011-01-30,1153.0
88,5.0,2011-01-30,983.0
89,6.0,2011-01-30,712.0
90,7.0,2011-01-30,692.0
91,8.0,2011-01-30,579.0
92,9.0,2011-01-30,529.0
93,10.0,2011-01-30,479.0
94,11.0,2011-01-30,12.0
95,12.0,2011-01-30,12.0
96,1.0,2011-01-31,4622.0
97,2.0,2011-01-31,2206.0
98,3.0,2011-01-31,1531.0
99,4.0,2011-01-31,1153.0
100,5.0,2011-01-31,984.0
101,6.0,2011-01-31,712.0
102,7.0,2011-01-31,692.0
103,8.0,2011-01-31,579.0
104,9.0,2011-01-31,529.0
105,10.0,2011-01-31,479.0
106,11.0,2011-01-31,12.0
107,12.0,2011-01-31,12.0
108,1.0,2011-02-01,4622.0
109,2.0,2011-02-01,2206.0
110,3.0,2011-02-01,1531.0
111,4.0,2011-02-01,1153.0
112,5.0,2011-02-01,984.0
113,6.0,2011-02-01,712.0
114,7.0,2011-02-01,692.0
115,8.0,2011-02-01,579.0
116,9.0,2011-02-01,529.0
117,10.0,2011-02-01,479.0
118,11.0,2011-02-01,12.0
119,12.0,2011-02-01,12.0
120,1.0,2011-02-02,4622.0
121,2.0,2011-02-02,2206.0
122,3.0,2011-02-02,1531.0
123,4.0,2011-02-02,1153.0
124,5.0,2011-02-02,984.0
125,6.0,2011-02-02,712.0
126,7.0,2011-02-02,692.0
127,8.0,2011-02-02,579.0
128,9.0,2011-02-02,529.0
129,10.0,2011-02-02,479.0
130,11.0,2011-02-02,12.0
131,12.0,2011-02-02,12.0
132,1.0,2011-02-03,4622.0
133,2.0,2011-02-03,2206.0
134,3.0,2011-02-03,1531.0
135,4.0,2011-02-03,1153.0
136,5.0,2011-02-03,984.0
137,6.0,2011-02-03,712.0
138,7.0,2011-02-03,692.0
139,8.0,2011-02-03,579.0
140,9.0,2011-02-03,529.0
141,10.0,2011-02-03,479.0
142,11.0,2011-02-03,12.0
143,12.0,2011-02-03,12.0
144,1.0,2011-02-04,4622.0
145,2.0,2011-02-04,2206.0
146,3.0,2011-02-04,1531.0
147,4.0,2011-02-04,1153.0
148,5.0,2011-02-04,984.0
149,6.0,2011-02-04,712.0
150,7.0,2011-02-04,692.0
151,8.0,2011-02-04,579.0
152,9.0,2011-02-04,529.0
153,10.0,2011-02-04,479.0
154,11.0,2011-02-04,12.0
155,12.0,2011-02-04,12.0
156,1.0,2011-02-05,4622.0
157,2.0,2011-02-05,2206.0
158,3.0,2011-02-05,1531.0
159,4.0,2011-02-05,1153.0
160,5.0,2011-02-05,984.0
161,6.0,2011-02-05,712.0
162,7.0,2011-02-05,692.0
163,8.0,2011-02-05,579.0
164,9.0,2011-02-05,529.0
165,10.0,2011-02-05,479.0
166,11.0,2011-02-05,12.0
167,12.0,2011-02-05,12.0
168,1.0,2011-02-06,4622.0
169,2.0,2011-02-06,2206.0
170,3.0,2011-02-06,1531.0
171,4.0,2011-02-06,1153.0
172,5.0,2011-02-06,984.0
173,6.0,2011-02-06,712.0
174,7.0,2011-02-06,692.0
175,8.0,2011-02-06,579.0
176,9.0,2011-02-06,529.0
177,10.0,2011-02-06,479.0
178,11.0,2011-02-06,12.0
179,12.0,2011-02-06,12.0
180,1.0,2011-02-07,4622.0
181,2.0,2011-02-07,2206.0
182,3.0,2011-02-07,1531.0
183,4.0,2011-02-07,1153.0
184,5.0,2011-02-07,985.0
185,6.0,2011-02-07,712.0
186,7.0,2011-02-07,693.0
187,8.0,2011-02-07,579.0
188,9.0,2011-02-07,529.0
189,10.0,2011-02-07,479.0
190,11.0,2011-02-07,12.0
191,12.0,2011-02-07,12.0
192,1.0,2011-02-08,4623.0
193,2.0,2011-02-08,2206.0
194,3.0,2011-02-08,1531.0
195,4.0,2011-02-08,1153.0
196,5.0,2011-02-08,985.0
197,6.0,2011-02-08,712.0
198,7.0,2011-02-08,693.0
199,8.0,2011-02-08,579.0
200,9.0,2011-02-08,529.0
201,10.0,2011-02-08,479.0
202,11.0,2011-02-08,12.0
203,12.0,2011-02-08,12.0
204,1.0,2011-02-09,4623.0
205,2.0,2011-02-09,2206.0
206,3.0,2011-02-09,1531.0
207,4.0,2011-02-09,1153.0
208,5.0,2011-02-09,985.0
209,6.0,2011-02-09,712.0
210,7.0,2011-02-09,693.0
211,8.0,2011-02-09,579.0
212,9.0,2011-02-09,529.0
213,10.0,2011-02-09,479.0
214,11.0,2011-02-09,12.0
215,12.0,2011-02-09,12.0
216,1.0,2011-02-10,4623.0
217,2.0,2011-02-10,2206.0
218,3.0,2011-02-10,1531.0
219,4.0,2011-02-10,1153.0
220,5.0,2011-02-10,985.0
221,6.0,2011-02-10,712.0
222,7.0,2011-02-10,693.0
223,8.0,2011-02-10,579.0
224,9.0,2011-02-10,529.0
225,10.0,2011-02-10,479.0
226,11.0,2011-02-10,12.0
227,12.0,2011-02-10,12.0
228,1.0,2011-02-11,4623.0
229,2.0,2011-02-11,2206.0
230,3.0,2011-02-11,1531.0
231,4.0,2011-02-11,1153.0
232,5.0,2011-02-11,985.0
233,6.0,2011-02-11,712.0
234,7.0,2011-02-11,693.0
235,8.0,2011-02-11,579.0
236,9.0,2011-02-11,529.0
237,10.0,2011-02-11,479.0
238,11.0,2011-02-11,12.0
239,12.0,2011-02-11,12.0
240,1.0,2011-02-12,4623.0
241,2.0,2011-02-12,2206.0
242,3.0,2011-02-12,1531.0
243,4.0,2011-02-12,1153.0
244,5.0,2011-02-12,985.0
245,6.0,2011-02-12,712.0
246,7.0,2011-02-12,693.0
247,8.0,2011-02-12,579.0
248,9.0,2011-02-12,529.0
249,10.0,2011-02-12,479.0
250,11.0,2011-02-12,12.0
251,12.0,2011-02-12,12.0
252,1.0,2011-02-13,4623.0
253,2.0,2011-02-13,2206.0
254,3.0,2011-02-13,1531.0
255,4.0,2011-02-13,1153.0
256,5.0,2011-02-13,985.0
257,6.0,2011-02-13,712.0
258,7.0,2011-02-13,693.0
259,8.0,2011-02-13,579.0
260,9.0,2011-02-13,529.0
261,10.0,2011-02-13,479.0
262,11.0,2011-02-13,12.0
263,12.0,2011-02-13,12.0
264,1.0,2011-02-14,4623.0
265,2.0,2011-02-14,2206.0
266,3.0,2011-02-14,1531.0
267,4.0,2011-02-14,1153.0
268,5.0,2011-02-14,985.0
269,6.0,2011-02-14,713.0
270,7.0,2011-02-14,693.0
271,8.0,2011-02-14,579.0
